Bedrooms,Bathrooms,Floor_no,Floor_in_sq_feet,Total_Price,Price_in_sq_feet,Area
3,3,4,2350,50000000,21276,Gulshan
3,3,5,1765,37000000,20963,Gulshan
3,3,3,2700,55000000,20370,Gulshan
3,3,3,1960,39000000,19897,Gulshan
4,4,3,3200,58000000,18125,Gulshan
3,3,3,2960,52500000,17736,Gulshan
4,3,3,2430,43000000,17695,Gulshan
3,2,3,2180,35000000,16055,Gulshan
4,4,2,2650,42500000,16037,Gulshan
3,3,2,2030,29900000,14729,Gulshan
3,3,4,1855,26500000,14285,Gulshan
4,3,2,2763,38000000,13753,Gulshan
3,4,6,3400,110000000,32352,Gulshan
5,5,5,5070,157000000,30966,Gulshan
4,4,5,4000,118000000,29500,Gulshan
4,4,7,3600,100000000,27777,Gulshan
4,4,6,3660,100980000,27590,Gulshan
4,5,4,3782,102000000,26969,Gulshan
4,4,3,3998,90000000,22511,Gulshan
4,4,4,3660,80000000,21857,Gulshan
4,4,3,3650,78000000,21369,Gulshan
3,5,5,2989,60000000,20073,Gulshan
4,3,6,2800,56000000,20000,Gulshan
4,4,3,4483,89000000,19852,Gulshan
3,3,3,2200,42500000,19318,Gulshan
3,3,4,2400,45000000,18750,Gulshan
3,3,2,1654,31000000,18742,Gulshan
4,5,3,4150,75000000,18072,Gulshan
4,4,3,3500,59000000,16857,Gulshan
3,3,3,2700,45000000,16666,Gulshan
3,3,5,2500,65000000,26000,Banani
3,3,5,2700,67500000,25000,Banani
3,3,3,2500,60000000,24000,Banani
5,5,4,3270,70000000,21406,Banani
3,3,5,3183,65000000,20420,Banani
4,5,4,3800,76000000,20000,Banani
4,4,5,3190,60610000,19000,Banani
3,3,5,2222,42000000,18901,Banani
3,3,4,2600,47500000,18269,Banani
4,4,2,2450,43000000,17551,Banani
3,3,3,2906,49000000,16861,Banani
3,3,2,1800,29000000,16111,Banani
4,4,2,3000,45000000,15000,Banani
3,3,2,1550,23000000,14838,Banani
2,2,3,1330,19000000,14285,Banani
3,3,3,2250,32000000,14222,Banani
3,3,2,2060,29000000,14077,Banani
4,4,3,3509,47000000,13394,Banani
4,4,4,2300,47000000,20434,Dhanmondi
4,4,8,2600,49500000,19038,Dhanmondi
4,4,4,2785,44000000,15798,Dhanmondi
3,3,9,1255,19452500,15500,Dhanmondi
3,3,3,1515,19900000,13135,Dhanmondi
5,4,6,4000,45000000,11250,Dhanmondi
3,3,7,1255,13805000,11000,Dhanmondi
3,3,5,2150,23500000,10930,Dhanmondi
4,4,5,2790,29000000,10394,Dhanmondi
3,3,6,1370,12500000,9124,Dhanmondi
2,2,6,1000,8550000,8550,Dhanmondi
3,3,3,1150,9500000,8260,Dhanmondi
3,3,5,1380,10800000,7826,Dhanmondi
3,3,7,1425,9975000,7000,Dhanmondi
3,3,2,1400,9500000,6785,Dhanmondi
3,3,6,1600,25600000,16000,Dhanmondi
3,3,5,1540,18500000,12012,Dhanmondi
3,3,4,1290,15480000,12000,Dhanmondi
3,3,5,1350,16200000,12000,Dhanmondi
3,2,4,1143,12500000,10936,Dhanmondi
5,4,7,4200,45580000,10852,Dhanmondi
3,3,3,1620,16700000,10308,Dhanmondi
3,3,3,1700,16900000,9941,Dhanmondi
3,3,4,1400,13800000,9857,Dhanmondi
3,3,4,1691,16500000,9757,Dhanmondi
3,2,3,1200,11200000,9333,Dhanmondi
3,3,5,1185,11000000,9282,Dhanmondi
3,4,3,2000,18000000,9000,Dhanmondi
3,3,4,1238,11000000,8885,Dhanmondi
3,3,2,1290,11000000,8527,Dhanmondi
3,2,3,1075,8700000,8093,Dhanmondi
2,2,2,848,6800000,8018,Dhanmondi
3,3,4,1400,10000000,7142,Dhanmondi
3,4,2,1370,9500000,6934,Dhanmondi
3,3,2,1050,7000000,6666,Dhanmondi
3,3,5,1850,21500000,11621,Bashundhara
3,3,2,2374,26500000,11162,Bashundhara
3,4,7,2100,23110000,11004,Bashundhara
4,4,6,2415,25500000,10559,Bashundhara
4,4,3,2300,23000000,10000,Bashundhara
4,4,5,2250,21500000,9555,Bashundhara
3,3,4,2200,20000000,9090,Bashundhara
3,3,2,2125,18000000,8470,Bashundhara
4,3,3,2135,17500000,8196,Bashundhara
4,4,2,2650,21000000,7924,Bashundhara
5,4,6,4025,50000000,12422,Bashundhara
4,4,4,2200,25500000,11590,Bashundhara
3,3,3,1900,21000000,11052,Bashundhara
4,4,5,2000,22000000,11000,Bashundhara
4,3,7,2000,20000000,10000,Bashundhara
3,3,2,2290,22500000,9825,Bashundhara
3,4,6,2250,21500000,9555,Bashundhara
3,3,3,1430,13000000,9090,Bashundhara
3,3,4,1450,13100000,9034,Bashundhara
3,3,8,2120,19000000,8962,Bashundhara
4,5,5,2900,35000000,12068,Bashundhara
4,5,9,2950,32000000,10847,Bashundhara
4,4,9,3800,40700000,10710,Bashundhara
4,5,4,3195,34100000,10672,Bashundhara
